geneID	319_1_mouse_C57Bl6_Adip_iBA_1	319_2_mouse_C57Bl6_Adip_ScWA_2	319_3_mouse_C57Bl6_Adip_ScWA_3	319_4_mouse_C57Bl6_Adip_ScWA_4	319_5_mouse_C57Bl6_Adip_VisWA_1	319_6_mouse_C57Bl6_Adip_VisWA_2	319_7_mouse_C57Bl6_Adip_VisWA_3	319_8_mouse_C57Bl6_Adip_VisWA_4	319_9_mouse_C57Bl6_Adip_ScWA_1	319_11_mouse_C57Bl6_Adip_iBA_3	319_12_mouse_C57Bl6_Adip_iBA_4	319_13_mouse_SV129_Adip_ScWA_1	319_14_mouse_SV129_Adip_ScWA_2	319_15_mouse_SV129_Adip_ScWA_3	319_16_mouse_SV129_Adip_ScWA_4	319_17_mouse_SV129_Adip_VisWA_1	319_18_mouse_SV129_Adip_VisWA_2	319_19_mouse_SV129_Adip_VisWA_3	319_20_mouse_SV129_Adip_VisWA_4	319_21_mouse_SV129_Adip_iBA_1	319_22_mouse_SV129_Adip_iBA_2	319_23_mouse_SV129_Adip_iBA_3	319_24_mouse_SV129_Adip_iBA_4
ENSMUSG00000000001	3.990	34.808	29.799	34.262	28.630	39.669	30.564	33.224	39.396	15.998	11.777	49.494	40.451	40.548	40.062	45.511	44.021	43.044	47.111	36.201	24.957	35.975	25.336
ENSMUSG00000000003	0	0	0	0	0.423	0	0	0.055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000028	3.533	3.662	3.108	3.209	4.848	4.359	5.984	4.168	3.304	2.537	3.036	3.776	3.332	3.348	3.182	3.472	4.010	3.495	3.828	2.379	1.166	2.193	1.356
ENSMUSG00000000031	0.375	0.124	0.105	0.137	0.313	0.055	0.099	0.196	0.312	0.158	0.384	0.153	0.077	0.143	0.271	0.378	0.259	0.455	0.269	1.409	1.299	1.391	1.437
ENSMUSG00000000037	0.467	0.567	0.185	0.194	0.146	0.468	0.300	0.122	0.118	0.019	0.224	0.126	0.126	0.461	0.243	0.205	0.148	0.088	0.248	0.237	0.020	0.086	0.125
ENSMUSG00000000049	0.082	0.044	0	0.118	0.080	0	0.075	0	0.067	0.077	0.046	0.045	0	0.045	0.084	0	0.196	0.137	0	0	0	0	0
ENSMUSG00000000056	4.901	4.897	6.486	4.571	6.053	6.536	8.644	5.281	3.585	4.815	7.278	7.128	6.535	5.151	6.354	7.152	7.157	7.702	6.526	7.565	5.538	4.806	6.064
ENSMUSG00000000058	51.758	415.560	425.741	425.686	434.153	552.405	404.353	578.324	378.310	140.847	95.493	304.890	322.281	284.300	327.373	508.122	490.520	453.621	552.513	230.368	182.621	191.042	184.196
ENSMUSG00000000078	21.688	351.494	276.905	273.563	231.216	370.357	357.925	292.807	284.398	68.436	51.712	391.944	296.117	278.695	214.427	285.444	204.817	189.721	224.597	141.727	69.155	102.552	58.882
ENSMUSG00000000085	16.355	9.061	9.489	11.905	10.634	11.501	10.938	9.417	10.835	10.024	15.999	13.338	11.835	13.158	13.593	15.674	14.644	17.693	14.548	15.110	10.022	10.705	8.704
ENSMUSG00000000088	1116.590	159.449	164.641	182.433	170.081	128.005	134.628	152.852	214.608	873.015	986.845	199.520	211.303	189.875	209.816	136.148	158.712	149.635	141.411	310.453	249.711	446.003	415.869
ENSMUSG00000000093	1.059	0.186	0.076	0.350	1.222	0.396	0.345	0.453	0.431	0.619	0.868	0.341	0.434	0.471	0.439	0.649	0.898	1.150	0.863	0.636	0.643	0.884	0.872
ENSMUSG00000000094	0	0	0	0.032	0	0	0	0.017	0.016	0	0	0	0	0	0	0.064	0	0.030	0	0	0	0	0.021
ENSMUSG00000000120	1.096	0.166	0.173	0.232	0.332	0.065	0.117	0.043	0.156	0.391	0.614	0.312	0.194	0.341	0.332	0.082	0.201	0.233	0.128	0.158	0.260	0.327	0.252
ENSMUSG00000000125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.016	0	0	0	0	0	0	0	0
ENSMUSG00000000126	0.434	0.407	0.236	0.312	1.135	0.729	1.252	0.735	0.353	0.203	0.654	0.502	0.575	0.579	0.645	1.150	1.400	1.090	1.179	0.457	0.414	0.412	0.430
ENSMUSG00000000127	2.057	8.529	7.949	8.677	5.715	7.748	7.027	8.154	7.237	4.290	2.948	8.077	8.235	8.012	8.466	9.920	9.905	8.759	9.821	6.438	4.944	6.553	6.208
ENSMUSG00000000131	38.688	40.363	40.548	44.346	37.895	47.523	56.850	41.788	38.990	33.848	43.366	44.827	38.914	43.034	34.142	50.158	53.891	58.659	54.075	28.968	20.758	37.762	23.271
ENSMUSG00000000134	25.970	17.191	17.411	14.675	21.710	18.552	20.146	15.834	19.178	13.380	18.406	14.325	14.471	15.223	15.786	13.880	15.609	20.401	14.777	9.855	8.530	13.816	10.657
ENSMUSG00000000142	7.321	5.231	6.787	5.059	24.422	15.839	13.446	16.910	4.958	7.197	5.345	2.109	5.834	4.256	5.402	9.054	16.101	14.165	14.402	2.560	2.735	2.632	3.124
ENSMUSG00000000148	5.746	4.784	5.292	4.920	8.760	5.824	6.384	5.949	3.272	3.428	4.340	3.394	4.422	4.448	4.141	5.483	5.507	5.840	5.233	2.847	2.395	2.999	3.081
ENSMUSG00000000149	46.527	16.445	15.941	17.537	25.551	19.636	19.555	19.919	17.313	25.424	35.492	17.957	18.366	18.254	18.865	21.771	22.203	20.330	19.230	20.730	16.552	22.722	22.315
ENSMUSG00000000154	1.485	3.721	3.918	3.247	3.960	5.177	5.566	4.856	4.394	1.368	1.003	3.418	3.224	2.834	3.257	3.336	2.583	2.535	3.126	0.801	1.204	0.964	0.762
ENSMUSG00000000157	0	0	0	0	0	0	0	0.082	0	0	0	0	0	0	0	0	0	0.019	0	0	0	0	0
ENSMUSG00000000159	0	0	0	0	0	0	0	0	0	0	0	0	0.126	0	0	0	0.034	0.132	0.063	0	0	0	0
ENSMUSG00000000167	0.345	1.130	1.312	1.125	0.677	0.930	1.704	1.742	0.933	1.008	0.677	1.577	2.068	1.761	1.657	1.664	2.388	1.095	1.677	0.262	0.735	1.482	0.922
ENSMUSG00000000168	302.256	118.985	142.076	133.165	75.811	86.171	83.380	103.014	134.817	391.211	310.665	165.647	164.794	151.177	172.131	111.618	113.085	95.427	90.625	186.724	138.374	265.385	227.212
ENSMUSG00000000171	782.909	137.869	145.627	150.233	159.903	129.240	145.769	145.488	172.426	516.802	597.958	150.602	153.012	146.671	158.709	116.559	125.640	132.166	117.583	212.884	158.184	317.243	273.047
ENSMUSG00000000182	0	0.029	0	0.026	0	0	0	0	0	0	0	0.207	0.026	0.059	0.082	0	0	0.028	0	0.067	0	0.033	0
ENSMUSG00000000184	5.596	54.478	61.968	57.468	59.383	73.785	59.891	75.114	49.297	12.727	8.909	37.163	45.178	41.812	37.670	55.361	50.273	51.390	55.086	13.763	12.969	14.230	13.387
ENSMUSG00000000194	20.255	18.657	17.938	18.864	22.280	18.780	20.121	17.046	14.494	15.813	17.133	14.684	18.878	16.793	17.027	17.869	19.197	21.968	21.111	10.557	10.652	15.704	12.026
ENSMUSG00000000197	0.008	0.007	0.006	0.007	0.040	0.031	0.025	0.014	0	0	0	0.008	0.013	0.008	0.007	0.033	0.083	0.127	0.069	0	0.008	0	0
ENSMUSG00000000202	0	0.070	0	0.016	0	0	0	0.127	0	0	0	0	0	0	0	0.088	0.089	0	0.226	0.020	0	0	0
ENSMUSG00000000204	0	0.044	0.064	0.216	0.045	0.029	0.013	0	0.211	0.035	0.041	0.449	0.259	0.408	0.303	0.204	0.189	0.112	0.149	0.164	0.097	0.064	0
ENSMUSG00000000214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.101	0	0	0	0
ENSMUSG00000000215	0	0	0	0	1.990	0	0	0.219	0	0.123	6.206	0	0	0	0	0.103	26.892	501.487	341.521	37.716	40.931	21.196	13.055
ENSMUSG00000000216	0.020	0.017	0.015	0	0	0.015	0.030	0	0	0.038	0	0.072	0.080	0.161	0.033	0.016	0.054	0.050	0.033	0	0.020	0.119	0.021
ENSMUSG00000000223	0.333	1.187	0.818	1.587	0.027	0.032	0	0	0.356	0.240	0.281	0.814	0.839	0.953	2.213	0.040	0.104	0.039	0.014	0.400	0.658	0.447	0.710
ENSMUSG00000000244	0	0.123	0.083	0.205	0.117	0.447	0.311	0.131	0.294	0.069	0.030	0.179	0.261	0.157	0.132	0.275	0.122	0.127	0.296	0	0	0.137	0
ENSMUSG00000000247	0	0	0	0.033	0	0.026	0	0	0.034	0	0.044	0.019	0.077	0.019	0.134	0.038	0.090	0	0.029	0.139	0.035	0	0.022
ENSMUSG00000000248	0	0.071	0	0	0.040	0	0.061	0	0	0	0	0.168	0	0.435	0	0	0	0	0	0	0	0	0
ENSMUSG00000000253	37.474	2.232	2.763	2.568	5.000	4.050	5.286	4.170	2.880	15.328	22.239	3.102	2.888	2.812	2.853	3.848	3.979	4.547	5.317	9.889	6.690	15.098	14.140
